date,facet,party,value,lower,upper
2020-01-08,2,green,0.044506864,0.036938715,0.053519855
2020-01-08,2,ukip,0.025407994,0.018009034,0.034847992
2020-01-10,1,con,0.45640578,0.424512333,0.487088539
2020-01-10,1,lab,0.304025183,0.278578536,0.331213902
2020-01-10,2,lib,0.101854393,0.089093612,0.116613228
2020-01-10,2,green,0.044431145,0.036902033,0.053409133
2020-01-10,2,ukip,0.02510437,0.017837518,0.034197648
2020-01-11,1,con,0.456816437,0.425734377,0.487160672
2020-01-11,1,lab,0.304289613,0.278945058,0.330657736
2020-01-11,2,lib,0.101689586,0.088988517,0.116366173
2020-01-11,2,green,0.044366759,0.036950199,0.053253203
2020-01-11,2,ukip,0.024768465,0.017724291,0.033724568
2020-01-13,1,con,0.457145165,0.426986677,0.486872116
2020-01-13,1,lab,0.304587651,0.279050181,0.33044501
2020-01-13,2,lib,0.101487155,0.088751805,0.116032533
2020-01-13,2,green,0.044326839,0.036966569,0.053037162
2020-01-13,2,ukip,0.024418079,0.017584657,0.033048662
2020-01-14,1,con,0.457331976,0.42783168,0.486912064
2020-01-14,1,lab,0.30480701,0.279587658,0.330266141
2020-01-14,2,lib,0.101306756,0.088633151,0.115690027
2020-01-14,2,green,0.044280004,0.037000833,0.05291831
2020-01-14,2,ukip,0.024105084,0.017476638,0.032503283
2020-01-16,1,con,0.457641283,0.428706099,0.487165974
2020-01-16,1,lab,0.304916356,0.280323261,0.33010175
2020-01-16,2,lib,0.101129516,0.088483142,0.115359916
2020-01-16,2,green,0.044229617,0.037023777,0.052792895
2020-01-16,2,ukip,0.023789811,0.017370407,0.032056771
2020-01-17,1,con,0.457883609,0.429197715,0.486949673
2020-01-17,1,lab,0.305046846,0.280594469,0.330051229
2020-01-17,2,lib,0.100904275,0.088426749,0.114932856
2020-01-17,2,green,0.044166081,0.037062233,0.052675197
2020-01-17,2,ukip,0.023515734,0.017206452,0.031449557
2020-01-19,1,con,0.458329775,0.4300709,0.487275403
2020-01-19,1,lab,0.305315463,0.281472013,0.330227449
2020-01-19,2,lib,0.100694289,0.08837273,0.114565249
2020-01-19,2,green,0.04410315,0.037040704,0.052600346
2020-01-19,2,ukip,0.023213852,0.017054984,0.031020348
2020-01-20,1,con,0.458636735,0.430991566,0.487442409
2020-01-20,1,lab,0.305526152,0.281846863,0.330473375
2020-01-20,2,lib,0.100428948,0.088144241,0.11433889
2020-01-20,2,green,0.044045447,0.036995021,0.052432895
2020-01-20,2,ukip,0.022858433,0.016917346,0.030617154
2020-01-22,1,con,0.459057927,0.431690945,0.487503981
2020-01-22,1,lab,0.305750569,0.282233122,0.33010199
2020-01-22,2,lib,0.10014945,0.087957477,0.113757823
